id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
45347422,Apartment T1 in a great location 1 min Pantheon.,358798151,Ganna,Lisboa,Santo Antnio,38.7181,-9.14633,Entire home/apt,50,1,0,,,1,0
45356230,Estúdio com pátio  - Casa Saint Jorge,213702100,Hermitage Castelo - Casa Chafariz,Lisboa,Santa Maria Maior,38.71261,-9.13214,Entire home/apt,173,1,0,,,9,268
45356536,Apartamento com terraço e vista Tejo,213702100,Hermitage Castelo - Casa Chafariz,Lisboa,Santa Maria Maior,38.71254,-9.13205,Entire home/apt,263,1,0,,,9,268
45356891,Tents in Atlantic Eden: the nature reserve.,38063489,Mena,Torres Vedras,A dos Cunhados e Maceira,39.16731,-9.35335,Private room,15,1,0,,,2,363
45357228,"Quinta da Serra → Secluded Villa Sintra → Heated Pool, Jacuzzi!",15900664,LisBeyond,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.81011,-9.41828,Entire home/apt,2300,4,0,,,25,304
45357681,"Panoramic apartment, 2 rooms, 1 living room (6 px)",108379605,Duarte,Amadora,guas Livres,38.7454,-9.22407,Entire home/apt,70,1,1,2021-05-15,0.52,1,331
45358299,MODERN PARLIAMENT by HOMING,318669472,Homing,Lisboa,Misericrdia,38.70884,-9.15175,Entire home/apt,69,1,4,2021-06-13,2.45,44,311
45358420,Lisboa junto ao Tejo,12260436,Maria,Lisboa,Alcntara,38.7048,-9.18434,Private room,17,7,0,,,3,340
45360978,Apartamento com vista rio no Castelo S. Jorge,213702100,Hermitage Castelo - Casa Chafariz,Lisboa,Santa Maria Maior,38.7126,-9.13194,Entire home/apt,243,1,0,,,9,365
45361915,Apartamento  Deluxe 1 quarto,213702100,Hermitage Castelo - Casa Chafariz,Lisboa,Santa Maria Maior,38.71273,-9.13234,Entire home/apt,203,1,0,,,9,365
45363165,Chiado deluxe gem 4bdr amazing apartment!,17457001,Joana,Lisboa,Misericrdia,38.70694,-9.1429,Entire home/apt,216,2,1,2020-11-02,0.12,40,257
45365286,CARCAVELLOS SOUL,366765258,Pedro,Cascais,Carcavelos e Parede,38.68997,-9.33277,Entire home/apt,46,2,9,2020-10-31,1.09,1,329
45366761,Sea & Land,19532484,Marta,Torres Vedras,A dos Cunhados e Maceira,39.15449,-9.36208,Entire home/apt,35,7,0,,,1,40
45377378,1Cozy travessa da Arrabida,366387554,Santisabel,Lisboa,Campo de Ourique,38.71832,-9.15958,Entire home/apt,30,3,1,2021-06-24,1,5,317
45379245,City Sweet Studio (Mouraria),19884024,Marco,Lisboa,Santa Maria Maior,38.71616,-9.1341,Entire home/apt,39,1,0,,,12,357
45379719,Great Location & Large Family Apartment w/ Patio,357786070,Jordan,Lisboa,Arroios,38.72349,-9.13285,Entire home/apt,93,1,6,2021-07-05,1.78,2,344
45379940,Augusta's Arch Design Apartment,3953109,Feels Like Home,Lisboa,Santa Maria Maior,38.70962,-9.13551,Entire home/apt,171,1,0,,,275,266
45379971,Apartamento duplex em Arroios,193856817,Magna,Lisboa,Arroios,38.72975,-9.13416,Entire home/apt,45,2,0,,,14,0
45383545,#Carrilho16:  Design secret - eco luxury lodging,2271296,Vincent,Lisboa,Penha de Frana,38.73164,-9.12947,Private room,35,2,1,2021-04-07,0.32,1,160
45389095,Serene Hideaway in Chiado,157141527,Nest@Lisbon,Lisboa,Santa Maria Maior,38.71281,-9.1424,Entire home/apt,124,2,5,2021-05-25,0.54,17,324
45389555,Lisbon Mouraria Top Center,19884024,Marco,Lisboa,Santa Maria Maior,38.716,-9.13413,Entire home/apt,39,1,1,2021-06-13,1,12,336
45391092,Charming triple room,46807062,Maria,Lisboa,Campolide,38.72522,-9.16077,Private room,50,2,1,2021-01-29,0.18,10,249
